Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"The home advantage.","Schwartz, Barry; Barsky, Stephen F.","Social Forces",="00377732",,="19770301","55","3","641","21","1978-01018-001","10.2307/2577461","University of North Carolina Press","Journal Article","Sports",,"Investigated the existence of a home advantage in organized sports. This phenomenon is most pronounced in the indoor sports of ice hockey and basketball, and least so in the outdoor sports of baseball and football. The home advantage is attributed mainly to the social support of the home audience. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1978-01018-001&site=ehost-live"
"The Home Advantage: Psychological and Physiological Factors in Soccer.","Neave, Nick; Wolfson, Sandy","Coping and emotion in sport.",,="1594540764",="20040101",,,"131","18","2005-05746-008",,"Nova Science Publishers","Chapter","Familiarity; Soccer; Sport Psychology",,"Within a sporting domain there appears to be a remarkable consistency in the size and scope of the home advantage, the effect in soccer being worth around 0.5 of a goal per match (Clarke & Norman, 1995). As Schwartz and Barsky (1977) noted, bookmakers take the venue into account when setting odds, and the media frequently mention the venue as a pertinent factor in any result. It is evident, then, that home advantage in team sports is pervasive. A more controversial question relates to the causes of the home advantage, and much attention has been paid to apportioning the contributions of various mechanisms (see Courneya & Carron, 1992). Popular explanations include factors relating to the crowd, referees, familiarity, travel and fatigue. Knowledge of these factors are important because they may impact the psychological and physiological responses of players when required to play away from home. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-05746-008&site=ehost-live"
"The home team advantage gives football referees something to ruminate about.","Poolton, Jamie; Siu, Chan Ming; Masters, Rich","International Journal of Sports Science & Coaching",="17479541",,="20110101","6","4","545","8","2011-24880-005","10.1260/1747-9541.6.4.545","Multi-Science Publishing Co. Ltd","Journal Article","Decision Making; Rumination (Cognitive Process); Soccer; Adulthood (18 yrs & older); Male",,"Observation suggests that referees significantly contribute to the home team advantage in football. The atmosphere created by the home team fans is thought to be the major contributing factor, but the extent of this influence is dependent on the referee. The Decision-Specific Reinvestment Scale was developed to identify those individuals susceptible to disrupted decision making under pressure as a result of their tendency to over-involve consciousness in decision making (Decision Reinvestment) or as a result of their tendency to ruminate upon poor decisions made in the past (Decision Rumination). We asked qualified referees to make a series of video-based decisions to examine whether the home team advantage effect was associated with a high or low tendency for Decision Reinvestment or Decision Rumination. We showed that referees categorized as high Decision Ruminators disproportionately made decisions in favour of the home team. The tendency to ruminate upon poor decisions may help explain some of the variance in the home team advantage effect shown by different referees. We conclude that aspects of personality should be considered in the development of training programs designed to improve and standardise football refereeing. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-24880-005&site=ehost-live"
"The influence of crowd noise and experience upon refereeing decisions in football.","Nevill, A. M.; Balmer, N. J.; Williams, A. Mark","Psychology of Sport and Exercise",="14690292",,="20021001","3","4","261","12","2002-18716-001","10.1016/S1469-0292(01)00033-4","Elsevier Science","Journal Article","Decision Making; Noise Effects; Soccer; Sports; Sports Spectators",,"The existence of the home advantage in sport is well known. There is growing evidence that crowd noise plays a crucial part in this phenomenon. Consequently, a quantitative study was undertaken to examine influence of crowd noise upon refereeing decisions in association football (soccer). The association between years of experience and any imbalance in refereeing decisions was also addressed. The authors investigated whether the presence or absence of crowd noise might influence 40 qualified referees when assessing various tackles/challenges recorded on videotape. Binary logistic regression was used to assess the effect of crowd noise and years of experience on referees' decisions. The presence of crowd noise had a dramatic effect on the decisions made by referees. Those viewing the challenges with background crowd noise were more uncertain in their decision making and awarded significantly fewer fouls against the home team, compared with those watching in silence. The noise of the crowd influenced referees' decisions to favour the home team. It is suggested that referees' decisions are influenced by the salient nature of crowd noise, the potential use of heuristic strategies, and the need to avoid potential crowd displeasure by making a decision in favour of the home team. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-18716-001&site=ehost-live"
"The influence of game location and level of experience on psychological skill usage.","Thelwell, Richard C.; Greenlees, Iain A.; Weston, Neil J. V.","International Journal of Sport and Exercise Psychology",="1612197X",,="20090601","7","2","203","9","2009-10001-005","10.1080/1612197X.2009.9671900","Fitness Information Technology","Journal Article","College Athletes; Experience Level; Games; Soccer; Sport Psychology; Adulthood (18 yrs & older); Male",,"The study investigated the variation in psychological skills usage between game location and performers' experience levels. A total of 25 collegiate soccer players retrospectively completed the Test of Performance Strategies (TOPS) that examines activation, relaxation, imagery, goal setting, self-talk, automaticity, emotional control, and negative thinking, following eight competitive games (four home and four away). Participants were grouped into Experienced and Less Experienced groups, based on the level of performance at which they typically played. Repeated measures Multivariate Analyses of Variance compared the usage of psychological skills across game location and experience levels and follow-up univariate analyses suggested psychological skills to be employed more frequently at home compared to away, and for experienced individuals to use such skills more than less experienced performers. Explanations as to how the findings relate to Carron and Courneya's (1992) conceptual model of home advantage, future research suggestions and potential implications for the applied practitioner are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-10001-005&site=ehost-live"
"The influence of game location and outcome on behaviour and mood states among professional rugby league players.","Polman, Remco; Nicholls, Adam R.; Cohen, Jeannette; Borkoles, Erika","Journal of Sports Sciences",="02640414",,="20071101","25","13","1491","10","2007-17838-002","10.1080/02640410601175436","Taylor & Francis","Journal Article","Athletes; Athletic Performance; Emotional States; Games; Sports; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male",,"In this study, we examined the relationship between home and away matches on mood. In addition, the relationships between game location, game outcome, behavioural factors, and mood were investigated among 12 professional English rugby league players competing in the Super League. Participants completed daily diaries for 27 days. The diary consisted of six analogue scales measuring mood (relaxed-tense, energetic-weary, depressed-elated, tired-alert, anxious-calm, cheerful-miserable) as well as behavioural factors and self-rated performance. There were no significant differences in self-reported mood states leading up to home or away matches except for players feeling more tired when playing away. Significant relationships between mood and behaviours (e.g. sleep and eating) and subjective performance were observed. The outcome of the match was found to influence mood, with a defeat resulting in decreased mood. Our results show that game location did not influence mood and therefore does not provide an explanation for the home advantage. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-17838-002&site=ehost-live"
"The influence of referee bias on extra time in elite soccer matches.","Lago-Peñas, Carlos; Gómez-López, Maite","Perceptual and Motor Skills",="00315125",,="20160401","122","2","666","12","2016-39287-021","10.1177/0031512516633342","Sage Publications","Journal Article","Soccer; Sports; Time; Teams",,"Referees have discretion over the addition of extra time at the end of the soccer game to compensate for lost time due to unusual stoppages. This study assesses if referees favor big teams by shortening close games where the big team is ahead and lengthening close games where the big team is behind. The sample comprises all 380 matches in the Spanish La Liga during the 2014–2015 season. The dependent variable was the extra time the referee decides to add to the second half. The independent variables were the score difference, opponent team’s level of play, yellow cards, red cards, player substitutions, average attendance, and fouls committed. Linear regression analysis suggested that the greater the score difference between teams, the less extra time was added by the referee. However, in close games, referees tended to add more time for a higher level team when they were behind and add less time when they were ahead. Red cards and the number of fouls committed increased the extra time. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-39287-021&site=ehost-live"
"The second leg home advantage: Evidence from European football cup competitions.","Page, Lionel; Page, Katie","Journal of Sports Sciences",="02640414",,="20071201","25","14","1547","10","2007-18588-002","10.1080/02640410701275219","Taylor & Francis","Journal Article","Competition; Soccer; Sports Spectators; Teams; Sports (Attitudes Toward); Adulthood (18 yrs & older)",,"The home advantage is a widely acknowledged sporting phenomenon, especially in association football. Here, we examine the second leg home advantage, an effect that is discussed in the public domain but which has received very little scientific attention. The second leg home advantage effect occurs when on average teams are more likely to win a two-stage knock-out competition when they play at home in the second leg. That is, both teams have a home advantage but this advantage is significantly greater for the team that plays at home second. Examining data from three different European Cup football competitions spanning 51 years, we show that the second leg home advantage is a real phenomenon. The second leg home team has more than a 50% probability to qualify for the next round in the competition even after controlling for extra time and team ability as possible alternative explanations. The second leg home advantage appears, however, to have decreased significantly over the past decade. Possible reasons for its existence and subsequent decline are presented. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-18588-002&site=ehost-live"
"Variations in home advantage in the national basketball leagues of Europe.","Pollard, Richard; Gómez, Miguel-Ángel","Revista de Psicología del Deporte",="1132239X",,="20130101","22","1","263","4","2013-08789-039",,"Universidad de les Illes Balears","Journal Article","Athletic Performance; Audiences; Basketball; Countries; Territoriality",,"Home advantage is a well established phenomenon in basketball, but little is known about its variability among different countries. The purpose of the study was to compare the magnitude of the home advantage in the national basketball leagues of Europe. Thirty-five countries were included and the final standings of league tables for the three seasons 2009-10 to 2011-12 analyzed, a total of 17,099 games. The advantage was highest in Bosnia-Herzegovina and Croatia, where over 70% of games were won by the home team, well above the mean for all countries (60.7%). After controlling for variations in the competitive balance of each league, as well as for proxy variables representing crowd size and travel distance, home advantage in the 10 Balkan countries was found to be significantly higher than elsewhere (p < 0.001). This Balkan effect added an estimated 5.1 percentage points to the home advantage. The pattern of results was very similar to a prior comparable study for football in Europe (overall average 61%), with a correlation between the football and basketball home advantage values of r = +.516. The explanation suggested for football is likely to apply also to basketball. That is, the effect on players, crowds and referees of an increased sense of territorial protection in Balkan countries due to the long history of conflict in the region, deep ethnic and religious rivalries and mistrust of outsiders, all heightened by the mountainous terrain and the isolation of many locations. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-08789-039&site=ehost-live"
"Vorhersagen im Fußball: Deskriptive und normative Aspekte von Vorhersagemodellen im Sport.","Gröschner, Christian; Raab, Markus","Zeitschrift für Sportpsychologie",="16125010",,="20060101","13","1","23","14","2006-03492-003","10.1026/1612-5010.13.1.23","Hogrefe Verlag GmbH & Co. KG","Journal Article","Heuristics; Models; Prediction; Soccer; Sports",,"Previous studies comparing real with model-based predictions in the field of sport have shown that human prediction can be modeled quite accurately by heuristic models. Study 1 compared three heuristic and one normative model in terms of how well they predicted game outcomes over two seasons in the premier German soccer league. Results showed that the prediction accuracies of the heuristic models were just as good if not better than those based on Bayes' model while using up to 50% less information. The half time result and the home advantage were identified as the most important items of information in soccer. Study 2 compared the predictions of 208 laypersons on the outcome of the soccer world championship in 2002 with those of experts. Results showed that the laypersons produced more accurate predictions than the experts. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-03492-003&site=ehost-live"
"Work and Play with Sports and Games.","Kleiber, Douglas A.","Contemporary Psychology",="00107549",,="19800101","25","1","38","2","2006-06566-025","10.1037/018624","American Psychological Association","Review-Book","Games; Individual Differences; Psychodynamics; Social Psychology; Sports",,"Reviews the book, Sports, Games, and Play: Social and Psychological Viewpoints edited by Jeffrey H. Goldstein (1979). The contents of this book must first be regarded as substantial. Of course, as with any anthology, it is uneven in the quality and significance of its chapters. Using the contexts of sports, games, and play, such topics as aggression, achievement, social facilitation, individual differences, collective behavior, creativity, intelligence, and cerebral laterality are among the topics provocatively considered. Principles of social influence are used to explain why the home-field advantage is more significant in basketball than football. The editor is, however, modest in his ambition for this book; he regards these domains of behavior as understudied and recognizes their value as 'vehicles for furthering scientific theory' and hopes primarily to 'raise possibilities for further research.' (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-06566-025&site=ehost-live"
"World cup soccer home advantage.","Brown, Terry D. Jr.; Van Raalte, Judy L.; Brewer, Britton W.; Winter, Christa R.; Cornelius, Allen E.; Andersen, Mark B.","Journal of Sport Behavior",="01627341",,="20020601","25","2","134","11","2002-01100-002",,"University of South Alabama","Journal Article","Athletic Performance; Home Environment; Sports; Time; Traveling; Sport Psychology",,"A number of situational factors (e.g, familiarity with playing facilities, distance traveled to a game, game importance) have been hypothesized to contribute to the home advantage (HA) effect. To assess the relationship between these factors and HA, and to further test the utility of a new method of calculating HA, data from World Cup Soccer games were examined. Analysis of all Fédération Internationale de Football Association (FIFA) recognized 32 games played by the 1998 World Cup teams between January 1, 1987 and the end of the 1998 World Cup (July 12) indicated that all the teams except one had a HA. Game importance did not affect HA. However, the greater the distance a team traveled to a game and the fewer days teams had between games, the worse teams performed These results are compared with previous research, and possible explanations for differences are provided (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-01100-002&site=ehost-live"
"Worldwide regional variations in home advantage in association football.","Pollard, Richard","Journal of Sports Sciences",="02640414",,="20060301","24","3","231","10","2006-02458-001","10.1080/02640410500141836","Taylor & Francis","Journal Article","Athletic Performance; Countries; Football; Games; Regional Differences; Geography; Organizations; Social Environments; Territoriality",,"Home advantage plays an important part in determining the result of a game of football. Its existence and magnitude is well documented in England, but its causes are still not completely understood. In this study, reliable estimates of home advantage are calculated for the domestic leagues of all countries of Europe and South America, as well as a selection of countries from other continents. The results of all games during the last six seasons are used for each of these 72 countries. In Europe, home advantage in the Balkan countries, especially Bosnia and Albania, is much higher than average. It is generally lower than average in northern Europe, from the Baltic republics, through Scandinavia to the British Isles. In South America, home advantage is high in the Andean countries and lower elsewhere, especially in Uruguay. Home advantage is not unusually high or low in any of the countries from other continents. A multiple regression model for the 51 European countries, which included variables for geographical location, crowd effects and travel, accounted for 76.7% of the variability in home advantage. The large geographical variations can be interpreted in terms of territoriality being a contributing factor to home advantage. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-02458-001&site=ehost-live"
"Zuschauer und der Heimvorteil in der Handballbundesliga.","Strauß, Bernd; Bierschwale, Jens","Zeitschrift für Sportpsychologie",="16125010",,="20080101","15","3","96","6","2008-10462-003","10.1026/1612-5010.15.3.96","Hogrefe Verlag GmbH & Co. KG","Journal Article","Athletic Performance; Sports; Sports Spectators; Teams",,"It is frequently assumed that spectators contribute to the home advantage in team sports. However, nearly all studies up to now. particularly those in soccer and the classic American team sports such as ice hockey and basketball, have shown that relations between spectators and performance variables are only slight or even nonexistent. The present study is the first to examine spectators and the home advantage in indoor handball. Outcomes and spectator variables were analyzed in 5,003 matches in the top German national handball league between 1977 and 2000. Results showed a clear home advantage: Over the entire period covered, there were 66.26% home wins (compared with 11.45% draws and 22.29% away wins). Nonetheless, spectator variables such as the number and density of spectators revealed only very low or zero correlations with performance measures (such as the home team points or goal difference). As these explained a maximum of less than 1% of the variance, they did not possess any practical significance at all—when controlling the performance of both teams between the home team points and; (a) the number of spectators; rp = .05: p < .01; N = 4645; (b) spectator density: rp = 0; N = 4645; and (c) the spectator quotient: rp = -.04, P < .01: N = 4645). The present results give further support to a number of earlier empirical studies (Carron et al., 2005; Jones et al. 2007: Strauß, 1999: 2002a) that tend to reject any substantial relationship between spectators and the home advantage. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-10462-003&site=ehost-live"
